epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07141,1.05905,1.86197,1.41659,0.57894,0.85,0.87839,0.63379,1.63278,1.02173,1.37422,0,0,0
2,5.60019,1.21922,2.57817,1.54772,0.58157,0.85,0.84951,0.63103,1.62834,1.00739,1.36952,1.07219e-06,1.07219e-06,1.07219e-06
3,6.01868,0.98975,1.86296,1.46616,0.6001,0.85,0.84937,0.64836,1.63902,1.01237,1.36922,1.90876e-06,1.90876e-06,1.90876e-06
4,6.4451,1.11994,1.91149,1.40601,0.61267,0.85,0.85029,0.64857,1.64453,1.00201,1.36972,2.50971e-06,2.50971e-06,2.50971e-06
5,6.90147,0.91604,2.05595,1.14934,0.62455,0.85,0.85111,0.6488,1.64197,0.99193,1.36928,2.87504e-06,2.87504e-06,2.87504e-06
6,7.42003,0.96509,2.12561,1.29632,0.62561,0.85,0.8535,0.63386,1.62772,0.98211,1.35771,3.00475e-06,3.00475e-06,3.00475e-06
7,7.90943,1.17397,2.04195,1.51523,0.62179,0.85,0.88952,0.6396,1.61077,0.97813,1.34507,2.89884e-06,2.89884e-06,2.89884e-06
8,8.40316,1.17409,1.7514,1.33371,0.63626,0.85,0.85495,0.63293,1.61209,0.97558,1.34252,2.55731e-06,2.55731e-06,2.55731e-06
9,8.89886,1.08331,1.92441,1.4426,0.63361,0.85,0.87117,0.63412,1.59168,0.9713,1.33337,1.98016e-06,1.98016e-06,1.98016e-06
10,9.40802,0.93496,1.62353,1.25155,0.64332,0.85,0.85802,0.63301,1.5864,0.96517,1.32925,1.16739e-06,1.16739e-06,1.16739e-06
